PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SEASONS,FG_PCT,FG3_PCT,FT_PCT
1630205,140,31,2224,299,634,40,148,115,162,94,286,380,90,62,45,83,210,753,3,0.47,0.25,0.71
1630206,22,1,205,32,82,8,30,12,15,4,26,30,9,8,3,14,14,84,2,0.39,0.25,0.85
1630207,23,0,95,15,43,4,19,7,10,1,8,9,8,7,2,6,8,41,2,0.18,0.11,0.35
1630208,109,5,1126,190,301,0,1,117,164,142,184,326,36,18,57,61,151,497,3,0.58,0.0,0.69
1630209,56,12,706,130,247,1,11,38,61,85,209,294,49,17,20,41,84,299,1,0.53,0.09,0.62
1630214,145,18,2230,332,627,35,124,101,164,200,342,542,169,118,60,94,213,800,3,0.54,0.28,0.6
1630215,42,1,360,61,151,28,88,11,16,5,40,45,63,17,8,33,47,161,1,0.4,0.32,0.69
1630217,174,123,4712,967,2090,438,1009,284,320,95,593,688,447,157,54,237,396,2656,3,0.46,0.43,0.87
1630219,61,5,489,76,162,22,65,30,34,15,45,60,47,21,2,19,24,204,2,0.47,0.34,0.88
1630223,13,2,172,36,72,17,36,7,9,3,15,18,17,8,0,14,15,96,1,0.5,0.47,0.78
1630224,116,116,3820,761,1822,279,829,410,520,61,366,427,356,79,30,277,185,2211,2,0.42,0.34,0.79
1630225,16,0,87,8,30,4,19,2,6,3,9,12,4,4,2,4,4,22,2,0.26,0.12,0.17
1630227,64,5,883,75,209,35,118,38,61,19,83,102,143,40,6,83,59,223,2,0.37,0.29,0.62
1630228,111,19,1977,372,729,77,231,182,271,94,270,364,135,49,41,131,245,1003,2,0.51,0.33,0.66
1630230,136,32,2667,361,879,100,346,224,291,89,383,472,276,97,29,148,203,1046,3,0.41,0.29,0.76
1630231,177,30,4086,681,1270,142,408,215,330,230,599,829,229,86,99,156,295,1719,3,0.53,0.35,0.66
1630233,99,2,766,119,251,17,64,117,156,77,124,201,39,24,22,47,96,372,3,0.49,0.29,0.75
1630235,108,9,1307,132,276,10,55,59,70,39,133,172,182,45,12,79,81,333,3,0.47,0.13,0.82
1630237,68,6,1234,155,336,80,215,45,57,60,148,208,95,28,16,61,131,435,3,0.3,0.24,0.54
1630238,10,0,46,3,12,3,6,0,0,0,13,13,0,0,0,2,6,9,2,0.28,0.5,0.0
1630241,36,2,291,40,96,28,70,6,8,7,30,37,25,8,1,12,20,114,2,0.39,0.38,0.75
1630245,127,82,3495,474,914,114,318,100,138,61,305,366,389,96,47,175,309,1162,2,0.52,0.35,0.73
1630249,50,8,807,78,194,37,116,20,24,20,94,114,68,22,9,32,76,213,2,0.39,0.3,0.68
1630250,11,0,38,4,16,1,6,8,11,5,5,10,0,1,1,2,6,17,2,0.13,0.1,0.36
1630253,18,0,158,13,33,5,22,8,8,6,13,19,4,2,3,4,8,39,1,0.39,0.23,1.0
1630256,163,137,4405,721,1451,129,417,249,355,290,563,853,443,167,79,262,559,1820,3,0.48,0.31,0.7
1630264,106,8,1035,135,241,23,67,75,92,68,119,187,55,20,20,31,130,368,3,0.56,0.32,0.82
1630268,7,0,26,2,7,2,7,3,3,1,0,1,1,0,1,1,1,9,1,0.29,0.29,1.0
1630270,2,0,8,0,2,0,2,0,0,1,1,2,0,0,0,0,2,0,1,0.0,0.0,0.0
1630271,44,1,459,47,126,18,68,34,51,10,53,63,41,16,11,28,47,146,2,0.4,0.25,0.64
1630284,27,0,336,32,77,11,28,22,27,23,30,53,12,13,3,16,36,97,1,0.42,0.39,0.82
1630288,23,0,201,20,51,2,13,5,5,13,18,31,22,7,2,7,10,47,2,0.39,0.18,1.0
1630296,5,0,15,2,3,0,1,2,2,1,2,3,1,1,0,2,1,6,2,0.75,0.0,0.5
1630322,44,1,679,97,242,76,208,9,12,13,91,104,39,25,14,16,50,279,2,0.4,0.37,0.76
1630346,18,0,138,19,49,15,41,4,4,2,7,9,6,4,1,3,9,57,2,0.3,0.29,0.5
1630526,75,54,1635,219,498,87,241,62,82,126,277,403,74,48,26,55,124,587,2,0.45,0.37,0.76
1630527,70,0,978,167,433,45,139,85,106,24,114,138,70,34,13,42,62,464,2,0.39,0.35,0.79
1630528,109,3,1664,287,636,64,226,106,144,62,163,225,179,76,21,144,119,744,2,0.46,0.26,0.74
1630529,116,107,3418,404,875,87,275,220,273,149,290,439,247,194,85,152,366,1115,2,0.46,0.31,0.8
1630530,113,42,2354,333,741,180,464,135,148,87,248,335,104,76,33,54,163,981,2,0.44,0.39,0.9
1630531,9,0,32,8,13,0,0,3,4,5,4,9,1,2,4,2,7,19,2,0.79,0.0,0.38
1630532,131,131,4155,827,1732,183,507,377,445,133,434,567,412,115,44,230,280,2214,2,0.48,0.36,0.85
1630533,88,34,1819,257,580,96,322,56,72,36,160,196,87,47,17,69,163,666,2,0.44,0.28,0.77
1630534,31,0,413,49,99,23,58,10,16,19,32,51,14,4,4,9,41,131,1,0.5,0.4,0.62
1630535,63,6,729,92,216,20,67,49,77,40,113,153,36,30,29,42,103,253,2,0.42,0.24,0.55
1630536,13,0,39,3,14,1,6,0,0,0,5,5,5,0,0,5,1,7,1,0.21,0.17,0.0
1630537,87,49,2147,350,852,130,377,140,171,51,252,303,163,70,18,117,142,970,2,0.39,0.33,0.83
1630538,111,5,2130,403,1005,222,599,178,207,24,250,274,316,69,33,153,219,1206,2,0.4,0.37,0.86
1630539,48,0,300,40,73,4,13,11,20,23,40,63,9,6,13,15,38,95,2,0.58,0.39,0.52
1630540,82,4,919,84,259,44,164,24,36,14,64,78,92,40,3,24,85,236,2,0.32,0.27,0.67
1630541,92,14,1200,150,341,76,210,54,73,36,113,149,60,20,15,40,78,430,2,0.44,0.36,0.74
1630543,76,20,1160,222,396,6,25,120,176,118,190,308,45,42,112,77,181,570,2,0.56,0.21,0.68
1630544,107,30,2245,377,960,159,472,89,117,44,239,283,166,79,21,116,179,1002,2,0.39,0.33,0.74
1630547,57,0,658,89,263,33,113,42,53,27,76,103,54,20,5,34,58,253,2,0.34,0.3,0.78
1630549,59,9,655,127,228,6,12,39,64,123,133,256,36,15,30,52,110,299,2,0.55,0.54,0.62
1630550,74,0,713,65,164,21,84,29,43,32,83,115,36,18,21,29,60,180,2,0.41,0.25,0.67
1630551,39,0,292,34,70,10,28,9,9,38,38,76,12,8,4,8,33,87,2,0.73,0.18,0.5
1630552,72,6,851,122,251,25,89,44,65,35,182,217,49,27,24,32,84,313,2,0.51,0.26,0.69
1630553,62,12,959,137,384,53,154,50,68,31,84,115,100,40,16,73,96,377,2,0.36,0.35,0.67
1630554,12,0,118,17,40,5,18,0,2,2,20,22,27,2,0,9,7,39,1,0.42,0.28,0.0
1630556,61,24,1061,116,289,50,147,17,21,50,136,186,33,32,25,46,88,299,2,0.34,0.27,0.67
1630557,121,65,3014,383,822,196,516,103,119,72,259,331,144,62,27,83,153,1065,2,0.47,0.39,0.87
1630558,125,23,2982,467,1097,140,437,71,105,43,194,237,417,80,35,157,212,1145,2,0.44,0.32,0.7
1630559,97,31,2457,270,572,98,292,194,224,68,236,304,190,49,34,89,147,832,2,0.47,0.34,0.87
1630560,102,2,1685,321,725,69,229,153,188,21,190,211,126,46,12,85,97,864,2,0.45,0.34,0.81
1630561,36,7,467,58,151,9,43,21,29,36,46,82,29,19,8,22,59,146,2,0.4,0.12,0.66
1630563,54,16,1058,110,296,45,149,51,68,34,92,126,99,21,25,68,87,316,2,0.36,0.28,0.76
1630567,125,124,4402,770,1611,104,347,289,384,320,604,924,505,132,99,238,300,1933,2,0.48,0.3,0.76
1630568,51,5,547,104,222,25,76,61,91,79,61,140,29,11,7,24,84,294,2,0.48,0.33,0.7
1630570,85,12,1452,216,394,22,67,111,146,79,240,319,138,39,34,77,178,565,2,0.56,0.34,0.76
1630572,61,3,578,73,161,28,77,25,34,47,79,126,36,11,12,21,42,199,2,0.42,0.33,0.7
1630573,77,0,885,121,276,93,234,10,15,25,125,150,45,15,13,18,64,345,2,0.45,0.41,0.33
1630577,2,0,7,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0
1630578,120,58,2831,540,1033,39,149,310,429,293,522,815,355,100,118,263,378,1429,2,0.52,0.28,0.72
1630579,82,15,1174,109,141,0,0,20,39,137,220,357,41,22,48,39,139,238,2,0.76,0.0,0.61
1630580,31,0,222,23,61,17,47,7,13,4,10,14,10,4,3,3,14,70,2,0.48,0.54,0.27
1630581,101,101,3154,611,1347,103,358,112,151,192,604,796,620,87,43,315,188,1437,2,0.45,0.29,0.74
1630583,81,17,1436,216,469,71,221,87,125,84,232,316,79,39,43,50,133,590,2,0.44,0.25,0.67
